delay,avg_diff_ratio
-2.0,0.009501522387761866
-1.75,0.017387640554746026
-1.5,0.010918659282078783
-1.25,0.00919955630350602
-1.0,0.01498577617682795
-0.75,0.00753415386543764
-0.5,0.0004793359820661197
-0.25,-0.034701579934306725
0.0,-0.06148194118215248
0.25,-0.06072585945012768
0.5,-0.07991449790348389
0.75,-0.0759525274901982
1.0,-0.046387103008357806
1.25,-0.040094103486077455
1.5,-0.03007989996263496
1.75,-0.0030407058785249757
2.0,0.024596228412380353
2.25,0.03830695857616374
2.5,0.04923189566639671
2.75,0.04265183788065532
3.0,0.020815752147584857
3.25,0.009841696455722216
3.5,-0.016987340833039787
3.75,-0.03490177670145137
4.0,-0.04957670066334644
4.25,-0.029109459208340693
4.5,-0.007694801161620415
4.75,-0.0037702632938024817
5.0,0.00047392928584175765
5.25,0.02621609767117539
5.5,0.018967256004466044
5.75,0.029727517800374092
6.0,0.04295438825799109
6.25,-0.0007159236132178506
6.5,0.01031997003906337
6.75,-0.01129332675173095
7.0,-0.0251196272427355
7.25,-0.009176157295498602
7.5,-0.008862315680275054
7.75,0.006825796880024875
8.0,-0.015100748748145569
8.25,0.008406141325701928
8.5,0.010487046948182721
8.75,0.02358281734462815
9.0,0.035100705227628336
9.25,0.009311635905711801
9.5,0.009804418356835543
9.75,-0.005253339726048641
10.0,0.004395978753089987
10.25,-0.008462072345403743
10.5,-0.0133992628372206
10.75,-0.014901128319922964
11.0,0.00044921210598206605
11.25,0.011742829532799372
11.5,0.0020642638027486442
11.75,0.0111139771657195
12.0,0.008398465653132526
12.25,0.006445558954927991
12.5,0.017001055894432314
12.75,0.004850480390311577
13.0,0.000965241433447017
13.25,-0.004523309579578009
13.5,-0.00750314660077904
13.75,0.003273911067501466
14.0,0.00042044971706403037
14.25,0.011741664626780649
14.5,0.012699707394523209
14.75,-0.006628424312720725
15.0,0.0038656794621236413
15.25,0.0053398471631689835
15.5,0.012130004967600303
15.75,-0.009673470132641136
16.0,0.00379931011540088
16.25,0.0003443143181975717
16.5,0.0025995160827230186
16.75,0.008178684479155724
17.0,0.005208451498063812
17.25,0.0006169670104100281
17.5,-0.007752890291229557
17.75,-0.00756282307846325
18.0,-0.004189456961736739
18.25,0.004821599688276708
18.5,0.004336241474156019
18.75,0.00042606494548632403
19.0,-0.000795749176918281
19.25,0.006165140630321885
19.5,-0.007216239151122204
19.75,-0.004610244943714876
