frequency,amplitude
0.03125,0.0019704368657813506
0.0625,0.015849109637515207
0.09375,0.01877623317193854
0.125,0.03434367910618072
0.15625,0.03740019144912393
0.1875,0.02813495097317993
0.21875,0.05942892084143471
0.25,0.00973583926170893
0.28125,0.06068835547093514
0.3125,0.06894159321830527
0.34375,0.03926456718278206
0.375,0.02427387396905444
0.40625,0.02033117925833313
0.4375,0.013428035369203147
0.46875,0.03498112868142253
0.5,0.017104412330057644
0.53125,0.03001343833713297
0.5625,0.031048589392454116
0.59375,0.029788524799916817
0.625,0.061196725689622276
0.65625,0.02145918550532362
0.6875,0.053091590586057245
0.71875,0.06093890216450749
0.75,0.02436715476301661
0.78125,0.04198716974400398
0.8125,0.049212728612188644
0.84375,0.04190655533444864
0.875,0.045405541404365486
0.90625,0.018985513610933792
0.9375,0.01320975486634752
0.96875,0.035316706257137544
