frequency,amplitude
0.03125,0.0008350670501260309
0.0625,0.0090125042209742
0.09375,0.022272065501908096
0.125,0.052989188244082074
0.15625,0.06131282707371455
0.1875,0.04492430900855149
0.21875,0.07423327240216095
0.25,0.13327810151415243
0.28125,0.1688848430619362
0.3125,0.2824281020640371
0.34375,0.21415193347531072
0.375,0.0652070908824791
0.40625,0.06648921079478823
0.4375,0.058657904493856876
0.46875,0.05543545564296915
0.5,0.07677338244035474
0.53125,0.03990825547587001
0.5625,0.04040575963399276
0.59375,0.09340316257313376
0.625,0.08937973805372239
0.65625,0.038678732086405786
0.6875,0.06082843169472668
0.71875,0.07439021093469196
0.75,0.09111922615779279
0.78125,0.041190577922519615
0.8125,0.07603221909431178
0.84375,0.025548315163740055
0.875,0.03666156103255299
0.90625,0.07738151285631728
0.9375,0.14368967526229856
0.96875,0.06143991571964166
