delay,avg_diff_ratio
-3.0,0.007422355435744787
-2.5,-0.004045008946285897
-2.0,-0.0019360791568029682
-1.5,0.00766887970706587
-1.0,0.006849388528343275
-0.5,-0.021337566257200007
0.0,-0.012778699196816016
0.5,-0.02159140698804265
1.0,-0.018909570118109453
1.5,-0.033308561126882304
2.0,0.009638918187847678
2.5,-0.0041798092312087505
3.0,0.00035253492525903995
3.5,-0.0021528575540165447
4.0,-0.015516297699647326
4.5,-0.013335208700606282
5.0,-0.007671511104423891
5.5,-0.009952278338274919
6.0,-0.0005848257023907017
6.5,0.004376175640762798
7.0,0.0017817746579797476
7.5,0.003525993071290858
8.0,-0.012860467847864017
8.5,-0.008994205440706202
9.0,0.015679103653467395
9.5,-0.010634543364322558
10.0,-0.0014051973925710668
10.5,5.653226226771298e-05
11.0,0.0016870553600059812
11.5,-8.802055447509588e-05
12.0,-0.00014118589460589508
12.5,0.016412203009120968
13.0,0.009932093990733108
13.5,0.003222010532382033
14.0,0.0034808211523296006
14.5,0.010443674480730964
15.0,0.008954285146916135
15.5,-0.009968780047012097
16.0,-0.004534518374742256
16.5,0.006345178947824298
17.0,-0.0009113565641486963
17.5,0.004800645502928128
18.0,0.0024621837749696546
18.5,-0.0004637983913165397
19.0,0.0006852181981961875
19.5,0.006884730556964358
